cell,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940560522787,GluMI,756.415,617.447,31.6615
720575940582599421,GluMI,674.428,497.464,29.418
720575940565681922,GluMI,683.789,577.878,31.996
720575940550983063,GluMI,658.332,625.327,30.6134
720575940564691700,GluMI,653.118,552.56,30.4616
720575940563744593,GluMI,667.866,584.866,33.9109
720575940552031603,GluMI,636.724,620.913,27.6278
720575940552092978,GluMI,744.675,558.906,31.7916
720575940552332286,GluMI,726.61,625.887,32.5142
720575940553631027,GluMI,709.2,545.378,27.9611
720575940569997970,GluMI,755.954,582.992,30.5028
720575940559490756,GluMI,626.302,614.667,31.6625
720575940577738025,GluMI,729.426,617.346,32.2136
720575940577719144,GluMI,728.141,568.401,31.7142
720575940577397036,GluMI,703.82,606.658,31.8291
720575940574937247,GluMI,704.653,668.172,34.6474
720575940556602317,GluMI,667.416,612.696,34.2861
720575940572122527,GluMI,664.247,564.725,31.2947
720575940556167639,GluMI,730.17,580.328,34.412
720575940573799071,GluMI,697.08,648.608,32.1669
720575940569219617,GluMI,713.987,586.561,33.015
720575940549544148,GluMI,676.796,599.416,35.256
720575940574397654,GluMI,707.774,641.992,33.199
720575940549176776,GluMI,680.499,606.895,33.9206
720575940568082182,GluMI,693.675,530.216,31.1576
720575940546413196,GluMI,717.004,617.302,32.7819
720575940567727513,GluMI,718.414,532.091,27.6782
720575940568760607,GluMI,651.429,578.628,30.8343
720575940568993960,GluMI,732.327,602.833,30.8147
720575940558063363,RBC,699.505,550.107,30.6504
720575940557579426,RBC,684.753,549.36,30.2728
720575940570358305,RBC,698.19,610.478,32.327
720575940557317940,RBC,652.792,547.859,29.2548
720575940557301812,RBC,761.046,587.137,31.2117
720575940570467617,RBC,741.243,575.42,32.7107
720575940558092803,RBC,713.662,545.066,31.8554
720575940570472737,RBC,771.46,584.359,33.0451
720575940557065175,RBC,717.05,617.686,31.0239
720575940557058210,RBC,670.154,630.542,34.6346
720575940568113929,RBC,673.447,654.411,33.2668
720575940570896409,RBC,677.586,644.281,33.0966
720575940570896665,RBC,723.656,642.536,31.7104
720575940570372897,RBC,695.933,627.344,30.9172
720575940558217352,RBC,651.962,582.31,31.7563
720575940570335521,RBC,749.34,579.634,32.9866
720575940558280169,RBC,650.161,562.263,31.5368
720575940558633058,RBC,631.832,603.741,35.2809
720575940570321697,RBC,708.655,622.968,32.619
720575940558609800,RBC,631.301,631.009,35.1301
720575940558603400,RBC,638.046,597.505,36.1702
720575940558591330,RBC,646.497,637.216,34.5646
720575940558588770,RBC,679.741,639.082,32.9617
720575940558220168,RBC,652.143,580.238,35.2809
720575940570323745,RBC,743.175,575.708,34.7317
720575940567891553,RBC,675.023,515.955,30.2693
720575940567927305,RBC,656.946,616.524,36.5614
720575940570327585,RBC,683.502,618.533,32.9964
720575940570327841,RBC,691.299,603.904,32.5649
720575940558346729,RBC,705.278,542.026,31.0127
720575940571379935,RBC,700.486,652.701,33.1598
720575940558452604,RBC,652.072,604.274,34.0566
720575940556998103,RBC,692.427,604.321,33.2306
720575940556997335,RBC,675.594,614.264,34.1681
720575940558644066,RBC,650.316,560.63,31.3683
720575940556456151,RBC,731.414,639.053,31.3721
720575940556207614,RBC,718.469,616.712,31.9244
720575940556203518,RBC,711.219,615.577,32.487
720575940568252169,RBC,689.215,660.124,32.1032
720575940572897439,RBC,659.594,601.51,35.1425
720575940556094718,RBC,698.508,639.36,32.9656
720575940556086782,RBC,760.725,593.626,32.2687
720575940556066090,RBC,743.534,609.205,31.7121
720575940556058622,RBC,760.411,593.806,30.9808
720575940556057815,RBC,672.218,590.751,33.532
720575940556020183,RBC,683.377,540.323,28.6116
720575940556018391,RBC,678.399,561.615,29.4727
720575940555999858,RBC,619.176,608.804,34.1826
720575940555999602,RBC,750.384,598.224,32.4083
720575940555953662,RBC,763.488,579.815,33.1195
720575940556468183,RBC,669.249,539.521,29.2171
720575940556997591,RBC,675.944,624.321,34.5406
720575940556472535,RBC,698.397,572.322,32.7131
720575940572068865,RBC,672.332,599.937,-6.56814
720575940571385823,RBC,711.409,582.576,26.2756
720575940571533983,RBC,658.789,542.58,30.0324
720575940556994263,RBC,675.221,604.982,35.6773
720575940556979354,RBC,723.512,586.505,34.3189
720575940556967834,RBC,675.452,640.949,33.5912
720575940571795097,RBC,682.493,528.688,28.9438
720575940568642313,RBC,705.779,663.853,35.7455
720575940556932514,RBC,731.39,614.691,32.606
720575940556900311,RBC,712.501,634.478,33.2796
720575940556897495,RBC,724.322,641.355,32.7086
720575940556819415,RBC,687.496,624.452,34.2116
720575940556762327,RBC,695.288,564.796,30.9413
720575940556697815,RBC,726.5,618.218,31.7135
720575940567973662,RBC,690.236,665.757,32.7529
720575940571949471,RBC,667.921,555.933,30.0405
720575940568623625,RBC,683.396,662.565,31.409
