cell,celltype_final,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940563306959,OFF SAC,835.838,418.231,22.1912,838.768,415.072,82.12
720575940570124400,OFF SAC,719.783,785.847,30.0981,719.232,784.736,71.04
720575940570183275,OFF SAC,813.363,518.932,27.9985,812.112,514.88,81.64
720575940570243609,OFF SAC,1023.55,485.337,24.0443,1026.29,485.6,81.76
720575940558844452,OFF SAC,738.264,1005.31,27.6312,734.288,1000.66,68.04
720575940558818519,OFF SAC,781.622,945.485,25.305,784.848,945.408,60.84
720575940558759829,OFF SAC,277.296,899.164,24.6546,273.744,899.488,56.4
720575940570415035,OFF SAC,550.781,678.914,30.0448,548.8,677.072,70.92
720575940570436283,OFF SAC,689.643,611.08,22.8328,687.296,609.12,71.36
720575940570467752,OFF SAC,1088.08,723.139,29.1185,1089.33,718.368,82.4
720575940558675861,OFF SAC,259.666,599.748,25.9874,255.536,596.496,61.88
720575940558585432,OFF SAC,695.347,917.927,31.895,693.152,914.304,67.2
720575940558560600,OFF SAC,789.303,838.199,28.6899,788.304,838.272,62.96
720575940570496577,OFF SAC,115.894,759.748,20.9621,113.92,759.92,79.72
720575940558468487,OFF SAC,549.862,709.313,29.8364,545.184,703.584,72.2
720575940558450520,OFF SAC,1013.85,958.068,24.5286,1013.86,956.928,82.52
720575940558430844,OFF SAC,662.88,640.475,24.4771,662.256,635.36,68.88
720575940570542760,OFF SAC,737.865,912.42,33.1777,733.824,911.072,67.6
720575940558369061,OFF SAC,920.419,408.74,21.7103,918.736,405.024,77.44
720575940558278889,OFF SAC,480.016,582.524,24.6338,478.0,580.352,63.08
720575940558257189,OFF SAC,724.46,601.278,24.8533,726.608,598.24,69.4
720575940558244706,OFF SAC,773.561,995.932,26.294,773.04,996.448,60.4
720575940558234503,OFF SAC,707.021,399.055,22.7708,708.608,399.792,79.56
720575940558231906,OFF SAC,837.037,843.153,25.5208,837.424,843.024,60.64
720575940558229575,OFF SAC,697.656,482.524,24.0737,698.56,480.576,75.52
720575940558228452,OFF SAC,894.397,979.8,24.678,893.152,978.16,67.56
720575940558222460,OFF SAC,1000.47,999.617,26.4267,999.616,997.216,81.2
720575940558220516,OFF SAC,931.747,909.816,22.169,928.624,906.368,66.08
720575940570692063,OFF SAC,138.533,772.823,26.2741,134.896,770.896,78.24
720575940570695201,OFF SAC,314.361,779.558,32.6631,309.2,778.16,53.6
720575940559221141,OFF SAC,476.392,1094.45,19.2888,475.312,1096.02,81.44
720575940570797089,OFF SAC,504.821,562.35,29.3016,502.528,558.656,64.56
720575940569871949,OFF SAC,649.747,543.934,23.9419,651.936,543.328,72.64
720575940559305621,OFF SAC,555.756,855.259,28.2465,553.52,852.528,68.08
720575940560377829,OFF SAC,229.71,854.704,23.9056,227.456,855.568,65.96
720575940560303819,OFF SAC,738.768,855.356,26.2532,736.192,855.776,64.68
720575940560286385,OFF SAC,371.866,732.017,30.8579,367.744,730.288,68.24
720575940560273553,OFF SAC,519.229,846.761,29.1877,517.376,846.352,59.04
720575940569123188,OFF SAC,823.915,815.637,25.2478,821.584,815.456,66.0
720575940560144520,OFF SAC,549.245,377.019,22.7612,550.448,375.648,76.6
720575940569168491,OFF SAC,687.09,430.836,21.8871,685.136,425.584,70.16
720575940569175720,OFF SAC,316.192,1001.74,27.4444,313.808,1002.56,77.2
720575940560100232,OFF SAC,176.044,801.108,24.6965,172.784,800.096,68.76
720575940559979413,OFF SAC,723.575,927.231,31.7649,721.584,923.712,71.32
720575940569436790,OFF SAC,712.525,421.788,24.016,716.32,416.208,82.56
720575940569477648,OFF SAC,697.958,798.827,26.3629,697.984,796.88,64.48
720575940559887196,OFF SAC,481.009,1079.3,25.5631,480.08,1078.93,73.04
720575940559842696,OFF SAC,624.679,399.331,25.0757,624.56,396.736,81.76
720575940559803996,OFF SAC,304.764,992.535,24.3756,302.112,990.56,70.68
720575940559748124,OFF SAC,900.711,651.057,24.4043,901.536,649.12,65.24
720575940569616566,OFF SAC,602.535,460.905,24.1645,605.456,457.456,66.36
720575940569628088,OFF SAC,1083.94,916.45,23.8768,1083.97,919.456,81.96
720575940569645406,OFF SAC,691.691,574.183,27.1743,689.408,575.264,70.12
720575940559580764,OFF SAC,399.721,444.739,27.3828,399.168,439.04,70.76
720575940569665974,OFF SAC,485.355,642.076,24.0077,483.424,641.056,58.56
720575940569687373,OFF SAC,778.464,790.579,22.0065,777.04,788.736,69.72
720575940559488401,OFF SAC,1047.35,479.998,21.8701,1047.89,477.168,80.92
720575940559427123,OFF SAC,133.186,736.197,25.7815,131.664,735.76,81.96
720575940559415185,OFF SAC,288.295,380.184,23.3356,287.36,376.88,81.96
720575940569783915,OFF SAC,655.596,483.393,23.6728,655.76,480.016,66.88
720575940569814297,OFF SAC,603.095,1090.05,25.5062,601.648,1089.92,71.16
720575940559334603,OFF SAC,673.508,414.65,25.2354,671.568,411.504,79.88
720575940569820169,OFF SAC,515.531,295.64,21.8363,515.056,293.088,82.04
720575940569839467,OFF SAC,323.884,348.77,24.6742,321.52,343.6,81.76
720575940569018190,OFF SAC,891.709,1055.8,25.2566,891.248,1055.18,68.36
720575940570951596,OFF SAC,507.608,648.3,24.0854,504.064,648.08,58.8
720575940570964001,OFF SAC,154.229,818.4,25.9473,151.456,817.888,74.16
720575940556740423,OFF SAC,725.599,416.102,23.5584,722.784,414.064,73.48
720575940573060711,OFF SAC,1064.59,1008.35,20.048,1062.45,1006.94,82.12
720575940556674612,OFF SAC,762.391,623.582,31.4181,761.68,621.6,75.52
720575940573103105,OFF SAC,740.897,835.5,25.95,742.592,834.384,67.48
720575940573180519,OFF SAC,1030.03,917.513,24.4847,1033.31,914.368,74.56
720575940573205053,OFF SAC,510.058,396.57,25.8151,508.048,395.184,65.36
