cell,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940558629730,XBC,609.098,613.773,32.9726
720575940548532887,XBC,679.808,579.2,33.9897
720575940563600183,XBC,689.915,587.516,35.5557
720575940573929545,XBC,696.668,556.254,31.5591
720575940559412275,t1,648.259,588.36,35.0212
720575940574544543,t1,661.729,588.766,34.8618
720575940561580484,t1,636.924,606.474,36.5577
720575940570358049,t1,671.777,603.466,35.9375
720575940561139377,t1,689.707,535.98,29.1932
720575940568211977,t1,700.835,652.418,34.5956
720575940556174295,t1,720.229,558.556,31.5916
720575940566356644,t1,675.642,515.126,31.311
720575940569775137,t1,676.771,563.717,31.9869
720575940556301930,t1,672.24,561.914,31.5478
720575940579746366,t1,616.069,597.573,33.684
720575940569774625,t1,676.158,577.256,33.7555
720575940561556676,t1,624.824,586.385,35.125
720575940575454077,t1,687.057,654.26,33.7682
720575940564026871,t1,745.405,566.013,34.294
720575940569304097,t1,714.355,553.558,32.676
720575940556811170,t1,756.589,591.82,33.5378
720575940564882913,t1,709.998,621.833,32.9261
720575940571589044,t1,651.987,579.574,34.6294
720575940565765129,t1,664.637,642.596,35.379
720575940563003415,t1,656.608,544.325,29.7656
720575940554549847,t1,618.629,627.47,35.4062
720575940552954674,t1,698.896,674.988,35.7202
720575940558842461,t1,631.961,569.938,33.8657
720575940566582892,t1,709.729,558.266,29.1138
720575940574543039,t1,737.138,586.416,35.0609
720575940554590462,t1,686.779,588.834,35.5381
720575940559491012,t1,636.365,587.128,36.5025
720575940556999145,t1,699.612,606.811,31.703
720575940569912097,t1,679.17,617.769,35.5708
720575940567161630,t1,766.402,581.211,35.5407
720575940558289032,t1,644.176,637.891,34.5996
720575940570352673,t1,743.602,587.611,34.5171
720575940559561802,t1,656.372,647.491,35.1916
720575940571828121,t1,685.33,533.307,30.3255
720575940550613307,t2,690.026,651.155,34.2557
720575940561570756,t2,646.713,554.277,30.0307
720575940563372345,t2,727.74,576.082,35.6885
720575940561594564,t2,643.794,622.388,34.9405
720575940561580228,t2,631.488,618.152,35.618
720575940561580740,t2,619.652,606.486,35.8351
720575940564337565,t2,695.386,570.76,31.6306
720575940568654881,t2,736.428,619.172,34.2253
720575940566467614,t2,751.139,597.133,33.5616
720575940548573335,t2,669.717,598.454,35.4993
720575940558814886,t2,689.309,562.921,30.938
720575940558772794,t2,684.981,600.673,34.6418
720575940581604990,t2,687.855,527.729,30.6151
720575940566704414,t2,685.194,615.99,33.8908
720575940566938398,t2,757.617,591.153,33.4908
720575940585366806,t2,712.172,656.655,35.5197
720575940557695463,t2,736.048,570.369,34.0946
720575940567926281,t2,657.034,630.028,27.3166
720575940561205276,t2,754.592,604.844,30.2699
720575940561498564,t2,642.524,611.754,36.6756
720575940557234850,t2,700.437,621.599,32.4964
720575940557223266,t2,656.337,626.337,35.5557
720575940568635425,t2,724.807,588.647,35.883
720575940568639265,t2,707.764,598.637,33.183
720575940557582498,t2,731.448,603.606,34.2157
720575940572666265,t2,703.303,524.237,30.9008
720575940550981271,t2,665.914,618.257,35.8975
720575940555740158,t2,684.466,632.352,36.009
720575940574543295,t2,706.302,589.12,34.4715
720575940553817342,t2,723.25,596.291,34.5731
720575940569828126,t2,667.84,580.797,33.5185
720575940555355902,t2,733.954,609.885,34.0668
720575940552834650,t2,725.307,586.478,35.8664
720575940570727340,t2,663.445,572.431,33.9319
720575940555410174,t2,696.653,627.66,33.5891
720575940552251921,t2,644.748,589.493,36.1184
720575940555461906,t2,657.652,647.191,33.0288
720575940571256350,t2,675.688,658.185,32.9276
720575940555133694,t2,724.961,563.955,33.4502
720575940570357793,t2,675.05,613.24,36.3302
720575940556194814,t2,740.112,580.787,36.099
720575940571753631,t2,659.773,553.968,30.2427
720575940571754655,t2,659.245,553.166,29.988
720575940556907223,t2,710.428,615.084,32.4389
720575940569930017,t2,673.178,645.335,34.9118
720575940577853394,t2,666.804,539.053,24.8943
720575940556251095,t2,685.603,596.043,35.1772
720575940577424217,t2,665.233,524.181,31.8005
720575940555932826,t2,696.864,557.164,31.6507
720575940569912353,t2,680.187,638.659,35.1683
720575940569586510,t2,761.861,586.518,33.3989
720575940554995182,t2,634.056,576.063,34.9393
720575940571801241,t2,672.05,527.853,31.3731
720575940569280363,t2,693.452,600.661,34.5914
720575940574535071,t3a,657.344,602.657,34.6359
720575940566704158,t3a,688.72,615.719,32.6194
720575940574308255,t3a,674.44,539.737,30.2132
720575940582552829,t3a,686.095,533.082,30.518
720575940570299425,t3a,692.381,618.064,31.7882
720575940578356740,t3a,676.759,630.486,35.2777
720575940566057481,t3a,662.07,613.061,36.4432
720575940583897390,t3a,693.614,658.917,31.1401
720575940565582557,t3a,751.327,573.55,35.6377
720575940555231703,t3a,685.816,551.306,30.3957
720575940561098332,t3a,732.011,596.484,35.4268
720575940570894361,t3a,658.912,647.727,35.2773
720575940555142142,t3a,679.595,578.294,33.9655
720575940585161427,t3a,715.308,552.122,29.6523
720575940571811225,t3a,673.92,540.422,30.0947
720575940573210144,t3a,632.073,597.831,36.436
720575940572655519,t3a,661.12,531.929,31.1903
720575940541656952,t3a,713.738,595.158,32.1713
720575940562947242,t3a,706.062,588.522,33.8238
720575940570355745,t3a,671.403,614.982,36.1582
720575940573588415,t3a,667.038,554.997,29.6928
720575940555473426,t3a,754.992,606.173,33.5086
720575940549702114,t3a,724.832,619.966,30.5236
720575940567874289,t3a,735.893,562.762,33.6593
720575940552314418,t3a,746.222,585.818,34.9716
720575940549156040,t3a,723.101,641.094,33.5567
720575940575556603,t3a,680.254,554.103,30.0944
720575940550573115,t3a,688.379,641.182,35.0749
720575940558226312,t3a,643.918,580.605,35.3943
720575940556084990,t3a,685.214,601.336,34.2403
720575940556999586,t3a,759.62,594.069,33.3921
720575940568325129,t3a,715.603,643.167,33.6436
720575940558283912,t3a,630.158,611.294,35.4377
720575940580646206,t3a,640.869,574.395,34.7357
720575940567416326,t3a,655.126,590.445,35.6994
720575940578780618,t3a,693.01,541.672,31.2942
720575940567343372,t3a,735.013,609.612,34.3845
720575940562476727,t3a,675.149,586.531,33.9905
720575940550572091,t3a,667.802,646.123,32.9106
720575940549502103,t3a,682.124,660.681,33.1788
720575940558273769,t3a,725.715,578.964,36.0091
720575940557305140,t3a,698.211,582.722,33.7203
720575940571716511,t3b,654.31,574.011,34.9224
720575940585969405,t3b,667.618,528.204,31.7943
720575940566746515,t3b,667.382,555.05,28.8227
720575940569773857,t3b,672.919,574.21,33.6924
720575940569599521,t3b,697.446,556.391,31.4983
720575940586082813,t3b,681.324,527.311,30.5212
720575940573297409,t3b,620.058,588.329,33.5419
720575940569248875,t3b,687.653,569.493,31.9375
720575940569247009,t3b,692.432,590.902,35.7813
720575940562592729,t3b,729.039,559.415,32.1998
720575940575071647,t3b,675.828,657.593,33.6297
720575940573349279,t3b,678.536,640.291,35.2422
720575940574567741,t3b,694.903,667.69,33.5422
720575940564535200,t3b,675.33,625.074,34.6396
720575940566862814,t3b,620.009,615.522,36.5558
720575940569861197,t3b,675.653,587.635,32.3215
720575940574511007,t3b,669.082,590.392,34.5039
720575940569860429,t3b,702.325,603.29,31.5916
720575940570336545,t3b,764.808,579.141,35.915
720575940566149025,t3b,667.127,565.839,32.6769
720575940574568765,t3b,703.089,646.199,34.6651
720575940566092663,t3b,644.899,579.215,32.783
720575940567869537,t3b,686.066,601.479,33.0229
720575940565550813,t3b,659.127,557.035,29.3255
720575940583933230,t3b,721.97,649.844,33.5854
720575940585144019,t3b,731.479,596.139,35.466
720575940569780769,t3b,683.651,540.056,30.4564
720575940570472225,t3b,742.107,561.768,32.7236
720575940567604914,t3b,652.331,627.076,32.7437
720575940562299371,t3b,712.738,595.958,32.6141
720575940563512134,t3b,709.325,643.797,34.1028
720575940561995693,t3b,724.448,620.897,33.479
720575940550950496,t3b,658.89,553.115,29.4937
720575940559536477,t3b,713.154,571.977,32.5424
720575940552228146,t3b,719.746,616.247,32.8774
720575940558832216,t3b,742.586,605.764,34.5142
720575940558641506,t3b,737.748,577.682,34.3501
720575940554126846,t3b,679.095,601.732,34.8635
720575940558306696,t3b,635.155,622.009,35.9698
720575940554553394,t3b,701.45,583.503,34.3187
720575940557995011,t3b,710.539,578.152,33.7673
720575940557545007,t3b,674.491,541.056,30.0533
720575940555172567,t3b,723.507,586.604,35.2223
720575940557486204,t3b,662.391,612.712,36.4197
720575940557144994,t3b,677.399,632.62,35.8145
720575940556995799,t3b,696.288,616.0,31.3888
720575940555409918,t3b,692.103,628.923,34.5712
720575940555462418,t3b,688.296,645.342,34.1432
720575940556932258,t3b,741.655,619.627,34.1227
720575940556904072,t3b,641.033,587.693,35.5639
720575940556820183,t3b,674.929,615.4,36.5492
720575940556163031,t3b,734.068,575.159,35.7052
720575940556603363,t3b,748.708,602.938,33.9496
720575940556601827,t3b,678.702,651.479,32.6471
720575940556584419,t3b,651.751,643.707,33.7512
720575940560499902,t3b,686.186,590.505,35.5847
720575940550880919,t3b,658.509,605.863,36.867
720575940558232200,t3b,652.661,569.536,34.4233
720575940561599138,t3b,744.238,598.837,33.1951
720575940546528908,t3b,635.207,606.003,36.5701
720575940561594018,t3b,613.605,600.357,33.5539
720575940549025687,t3b,661.208,531.301,31.3222
720575940552313906,t4,756.932,581.562,35.6192
720575940569922593,t4,702.561,602.32,33.247
720575940555211991,t4,722.487,606.08,32.7074
720575940558588514,t4,698.989,638.845,34.2981
720575940553868312,t4,683.631,625.59,36.0395
720575940570319137,t4,714.725,606.21,31.9558
720575940558385800,t4,653.403,569.421,34.3648
720575940568965982,t4,696.155,530.389,31.3757
720575940556582883,t4,721.916,649.778,31.5388
720575940585161171,t4,716.669,552.422,31.4772
720575940568678689,t4,672.29,574.86,33.7309
720575940554721062,t4,702.39,676.009,34.6219
720575940557545122,t4,707.622,571.921,33.3423
720575940557163267,t4,652.576,632.612,35.4028
720575940567941810,t4,643.626,609.11,33.8482
720575940583890990,t4,657.525,648.338,34.9365
720575940568459085,t4,663.895,589.969,34.8292
720575940570358561,t4,698.553,609.687,31.8707
720575940558773306,t4,697.223,596.568,33.2417
720575940564184104,t4,667.882,647.001,32.7783
720575940555076606,t4,729.031,627.458,34.059
720575940564281755,t4,729.349,597.147,34.1386
720575940551376456,t4,630.361,585.612,36.2158
720575940550788576,t4,649.823,612.908,35.9922
720575940574592317,t4,699.79,651.154,33.0776
720575940564270780,t4,611.163,610.91,31.3681
720575940566500617,t4,671.27,574.565,33.5186
720575940559796764,t4,675.038,603.146,35.4191
720575940566498078,t4,752.608,595.879,32.6043
720575940541698936,t4,735.865,560.285,33.5473
720575940577019196,t4,688.841,570.367,31.9053
720575940578215977,t4,732.683,551.259,33.3921
720575940569590350,t4,717.213,572.045,32.5987
720575940578421566,t4,637.704,561.361,32.6398
720575940551686081,t4,703.798,562.31,32.5367
720575940556090878,t5i,717.171,641.192,33.4664
720575940555745534,t5i,708.981,621.968,32.8038
720575940555244247,t5i,677.74,542.571,29.9302
720575940568621389,t5i,689.185,535.771,30.969
720575940555239918,t5i,635.852,613.848,36.4997
720575940561806509,t5i,639.182,575.626,34.9335
720575940570357537,t5i,703.791,635.67,33.366
720575940555244503,t5i,679.728,553.51,29.9823
720575940570334497,t5i,757.22,574.56,35.9487
720575940570328097,t5i,700.534,622.253,32.5597
720575940585356310,t5i,735.301,592.995,35.3375
720575940568724986,t5i,713.194,592.118,34.3159
720575940569778721,t5i,692.649,553.922,31.0139
720575940569811265,t5i,625.774,619.185,36.4045
720575940555309783,t5i,686.419,589.921,35.5745
720575940569215777,t5i,695.147,587.14,35.3501
720575940569187361,t5i,732.012,559.649,31.8236
720575940556994775,t5i,670.437,643.741,35.0529
720575940569915937,t5i,681.021,638.449,35.4281
720575940569131041,t5i,673.735,591.009,34.3871
720575940556947106,t5i,734.685,608.629,34.333
720575940569829665,t5i,744.308,578.841,35.1065
720575940570334241,t5i,739.982,581.622,35.9265
720575940557335310,t5i,669.013,581.323,33.7908
720575940555170558,t5i,724.64,562.671,33.3661
720575940568177671,t5i,690.177,629.752,35.0593
720575940574039199,t5i,668.003,566.374,32.7133
