cell,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940563008139,F-mini-OFF,FmOff,821.161,532.712,-14.2504,822.496,531.328,27.36
720575940568661514,F-mini-OFF,FmOff,965.84,737.293,-14.2323,965.984,738.0,19.32
720575940568547661,F-mini-OFF,FmOff,265.222,771.629,-13.2643,260.08,769.536,11.24
720575940568512406,F-mini-OFF,FmOff,95.529,560.164,-18.166,92.512,554.736,46.24
720575940582416254,F-mini-OFF,FmOff,967.141,669.993,-12.4767,966.736,668.624,22.12
720575940559314477,F-mini-OFF,FmOff,580.529,977.083,-13.4138,578.272,976.128,21.08
720575940568477262,F-mini-OFF,FmOff,873.84,377.735,-13.8199,874.368,373.232,33.44
720575940568447053,F-mini-OFF,FmOff,549.114,782.473,-14.6232,547.392,778.912,15.44
720575940568424689,F-mini-OFF,FmOff,983.606,479.597,-12.2105,984.384,473.264,28.28
720575940559603292,F-mini-OFF,FmOff,494.003,715.749,-14.7385,491.04,709.92,9.96
720575940568304269,F-mini-OFF,FmOff,628.582,489.597,-16.7531,630.64,485.504,19.08
720575940559848547,F-mini-OFF,FmOff,375.148,350.936,-17.3836,372.496,348.224,25.48
720575940558554328,F-mini-OFF,FmOff,821.104,991.358,-13.1031,820.736,988.0,18.04
720575940559858321,F-mini-OFF,FmOff,842.23,712.963,-14.7686,840.608,708.448,22.12
720575940568231796,F-mini-OFF,FmOff,679.616,481.286,-14.5882,681.232,481.808,24.96
720575940560013445,F-mini-OFF,FmOff,434.724,529.334,-14.3698,433.808,529.632,13.52
720575940560206939,F-mini-OFF,FmOff,402.532,410.223,-16.3881,400.0,403.296,19.36
720575940560209499,F-mini-OFF,FmOff,654.484,718.09,-14.2809,647.536,718.192,17.12
720575940560466353,F-mini-OFF,FmOff,683.235,926.323,-12.819,682.432,925.088,17.6
