,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940577738025,GluMI,731.541,616.948,33.7622
720575940554483198,RBC,684.27,567.131,31.8555
720575940548532887,XBC,679.808,579.2,33.9897
720575940559412275,t1,648.259,588.36,35.0212
720575940558772794,t2,684.981,600.673,34.6418
720575940573588415,t3a,667.038,554.997,29.6928
720575940554553394,t3b,701.45,583.503,34.3187
720575940577019196,t4,688.841,570.367,31.9053
720575940575595901,t5i,663.134,597.66,35.9161
720575940569772321,t5o,676.928,574.417,33.7911
720575940566799672,t5t,716.896,626.905,33.4521
720575940557157079,t6,689.414,643.204,34.8275
720575940575357565,t7,716.769,553.436,32.8476
720575940559435723,t8,716.054,557.885,32.8932
720575940572873533,t9,694.843,574.832,33.003
