,celltype_final,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940563427385,A17 large,713.755,659.968,29.2673,715.44,658.944,75.44
720575940555335874,A17 small,359.139,352.716,24.7433,358.448,348.736,81.96
720575940573453885,A2,625.825,472.36,25.6206,625.984,469.136,67.08
720575940572431260,H22,295.301,1009.5,25.6899,296.176,1010.66,82.52
720575940557823832,H23,702.621,633.105,30.8992,699.92,629.136,78.04
720575940563045702,OFF SAC,568.01,395.272,23.7672,566.72,391.728,69.44
720575940568842512,ON SAC,258.497,913.22,-11.1054,258.0,914.848,16.44
