cell,celltype_final,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940557787597,OFF SAC,967.763,820.784,29.1327,963.552,816.768,75.68
720575940557793586,OFF SAC,432.77,822.119,29.3313,432.192,819.808,57.12
720575940557875715,OFF SAC,923.591,993.076,23.5358,922.144,991.376,65.56
720575940571671988,OFF SAC,620.928,505.024,25.0833,617.664,501.312,66.24
720575940572159335,OFF SAC,1016.72,787.739,25.1389,1016.592,784.768,67.88
720575940557301732,OFF SAC,156.098,864.454,23.9437,153.536,862.48,75.12
720575940572733501,OFF SAC,501.02,318.542,22.7798,502.816,318.416,80.16
720575940557203844,OFF SAC,500.535,799.162,26.5092,498.272,792.048,60.2
720575940556740423,OFF SAC,725.756,416.943,23.6825,722.784,414.064,73.48
720575940556788227,OFF SAC,911.922,680.263,25.8786,911.104,678.08,66.56
720575940556823271,OFF SAC,533.482,609.32,32.1293,529.728,605.024,73.88
720575940573556124,OFF SAC,474.449,456.692,28.1835,472.864,455.344,59.2
720575940573548545,OFF SAC,551.294,679.922,30.1383,548.8,677.072,70.92
720575940573462684,OFF SAC,494.999,367.836,24.853,492.8,363.856,71.12
720575940556950682,OFF SAC,452.237,415.38,26.2065,449.328,411.264,70.08
720575940573408409,OFF SAC,656.444,657.862,27.4235,652.992,655.056,70.72
720575940573392999,OFF SAC,1045.39,508.674,22.1492,1044.864,504.4,74.96
720575940557013480,OFF SAC,508.959,695.884,33.2268,505.552,688.88,71.56
720575940573205053,OFF SAC,510.578,398.112,26.5992,508.048,395.184,65.36
720575940573180519,OFF SAC,1031.09,918.492,23.6068,1033.312,914.368,74.56
720575940557112553,OFF SAC,332.025,430.939,22.5529,330.064,426.896,67.08
720575940573103105,OFF SAC,740.614,836.97,24.831,742.592,834.384,67.48
720575940573060711,OFF SAC,1064.35,1008.62,21.1264,1062.448,1006.944,82.12
720575940573030657,OFF SAC,1091.43,621.089,18.314,1091.344,619.328,82.24
720575940557163753,OFF SAC,193.598,479.637,21.7699,189.584,476.08,79.68
720575940557167848,OFF SAC,228.547,893.988,25.9089,228.464,892.656,76.12
720575940557198595,OFF SAC,160.985,776.222,29.3495,157.68,773.664,78.64
720575940557932486,OFF SAC,1033.59,1022.47,23.7955,1031.472,1020.432,82.52
720575940558683620,OFF SAC,888.314,489.275,23.8357,886.224,485.648,75.08
720575940557940527,OFF SAC,399.852,725.782,29.8555,397.024,721.648,59.76
720575940557948150,OFF SAC,586.082,1061.15,24.7962,585.376,1060.512,68.84
720575940558314895,OFF SAC,398.476,673.655,31.9614,391.504,669.2,69.44
720575940565735682,OFF SAC,191.644,831.62,28.6686,188.832,829.072,69.0
720575940558350976,OFF SAC,422.859,533.384,25.3292,418.56,528.608,68.72
720575940558367465,OFF SAC,840.872,515.25,23.4732,839.712,512.208,70.52
720575940558369061,OFF SAC,920.239,409.077,20.4732,918.736,405.024,77.44
720575940558376263,OFF SAC,480.85,687.816,25.6537,476.592,685.36,59.72
720575940571232545,OFF SAC,434.344,364.645,23.2997,431.92,360.752,78.12
720575940558419172,OFF SAC,603.103,545.335,24.2781,601.408,541.776,72.8
720575940558278889,OFF SAC,480.154,584.351,25.2149,478.0,580.352,63.08
720575940558450520,OFF SAC,1014.01,959.118,24.2792,1013.856,956.928,82.52
720575940558466793,OFF SAC,364.837,530.051,23.9053,361.184,524.928,56.52
720575940558468487,OFF SAC,550.644,710.631,30.7178,545.184,703.584,72.2
720575940558503438,OFF SAC,355.016,383.454,23.9636,352.672,380.064,74.52
720575940571216747,OFF SAC,349.135,478.812,26.3307,344.96,473.84,60.24
720575940571206942,OFF SAC,773.416,576.083,29.4911,770.96,571.264,71.32
720575940558560600,OFF SAC,789.279,840.238,27.4311,788.304,838.272,62.96
720575940558576361,OFF SAC,755.741,719.569,29.9006,754.384,716.592,66.16
720575940558654734,OFF SAC,569.456,657.685,22.4914,569.616,651.76,66.8
720575940558464454,OFF SAC,739.609,637.398,25.4153,738.4,635.024,67.32
720575940558262275,OFF SAC,643.115,724.701,26.1042,641.104,720.304,64.44
720575940558244706,OFF SAC,773.833,997.697,25.1226,773.04,996.448,60.4
720575940558234503,OFF SAC,706.942,400.092,22.9382,708.608,399.792,79.56
720575940571644977,OFF SAC,752.855,795.476,24.1108,753.664,791.136,66.68
720575940557983960,OFF SAC,228.262,947.749,25.1334,224.192,946.56,71.48
720575940558001142,OFF SAC,387.886,612.814,30.7737,384.272,608.8,61.88
720575940558004739,OFF SAC,498.584,356.164,24.2548,497.296,352.944,75.28
720575940571519199,OFF SAC,366.053,571.495,30.4136,364.848,569.296,62.64
720575940558034699,OFF SAC,587.925,395.136,28.4551,586.368,391.904,78.84
720575940558061952,OFF SAC,677.418,981.579,24.2607,675.92,978.464,61.84
720575940558064886,OFF SAC,817.722,549.045,26.9118,816.544,546.336,77.16
720575940558071501,OFF SAC,656.713,802.201,24.7287,653.28,799.776,60.88
720575940571491137,OFF SAC,759.236,938.188,29.3109,757.36,936.912,67.2
720575940571462324,OFF SAC,692.149,662.449,31.7755,690.912,659.44,78.84
720575940571395807,OFF SAC,492.481,551.257,23.8383,488.496,547.056,56.64
720575940571381291,OFF SAC,876.684,891.505,25.1942,875.68,888.832,61.48
720575940571350635,OFF SAC,432.964,435.229,23.8352,431.744,426.896,64.48
720575940558220516,OFF SAC,931.834,910.132,23.0009,928.624,906.368,66.08
720575940558222460,OFF SAC,1000.54,999.455,26.5055,999.616,997.216,81.2
720575940558228452,OFF SAC,894.417,979.71,27.3952,893.152,978.16,67.56
720575940558229575,OFF SAC,698.004,484.074,23.7137,698.56,480.576,75.52
720575940558231906,OFF SAC,837.6,844.61,24.9484,837.424,843.024,60.64
720575940557946405,OFF SAC,735.268,975.431,24.0178,730.048,974.88,57.12
720575940561076657,OFF SAC,483.786,507.627,28.9782,480.896,502.592,59.0
720575940561120142,OFF SAC,155.57,558.778,21.6671,152.096,553.872,75.12
720575940561141905,OFF SAC,260.359,1000.13,13.3032,257.536,1000.576,65.8
720575940563877357,OFF SAC,214.941,512.395,25.6492,211.184,508.112,75.36
720575940563918437,OFF SAC,184.31,755.502,24.4531,180.272,753.808,71.64
720575940567282281,OFF SAC,336.721,560.388,26.5222,331.616,554.528,60.12
720575940563930741,OFF SAC,836.398,478.621,25.4401,835.344,475.328,79.96
720575940563969909,OFF SAC,607.011,978.347,25.5802,603.616,976.224,61.28
720575940567222284,OFF SAC,887.127,415.474,22.8502,885.488,412.512,76.0
720575940564027105,OFF SAC,715.578,357.902,21.8052,714.512,354.832,81.4
720575940567159814,OFF SAC,211.945,782.242,28.3591,208.624,780.016,65.08
720575940567612012,OFF SAC,773.037,656.022,24.4488,772.592,651.936,67.96
720575940567088862,OFF SAC,815.62,647.807,24.1281,815.424,645.344,68.2
720575940567040514,OFF SAC,398.353,750.863,24.7087,397.056,747.28,56.52
720575940564227624,OFF SAC,863.062,579.202,23.8476,865.6,574.288,71.08
720575940567014140,OFF SAC,456.127,304.826,21.7129,453.584,300.128,81.48
720575940564250864,OFF SAC,872.467,989.032,24.139,873.056,989.152,66.36
